Image_ID,Data_Split,Background_Color
sputum_train_0001.jpg,Train,Yellowish
sputum_train_0002.jpg,Train,Greenish
sputum_train_0003.jpg,Train,Bluish
sputum_train_0004.jpg,Train,Yellowish
sputum_train_0005.jpg,Train,Purplish/Pinkish
sputum_train_0006.png,Train,Greenish
sputum_train_0007.jpg,Train,Purplish/Pinkish
sputum_train_0008.jpg,Train,Purplish/Pinkish
sputum_train_0009.png,Train,Greenish
sputum_train_0010.jpg,Train,Purplish/Pinkish
sputum_train_0011.jpg,Train,Yellowish
sputum_train_0012.jpg,Train,Purplish/Pinkish
sputum_train_0013.png,Train,Yellowish
sputum_train_0014.jpg,Train,Purplish/Pinkish
sputum_train_0015.jpg,Train,Yellowish
sputum_train_0016.jpg,Train,Bluish
sputum_train_0017.jpg,Train,Purplish/Pinkish
sputum_train_0018.jpg,Train,Purplish/Pinkish
sputum_train_0019.jpg,Train,Yellowish
sputum_train_0020.jpg,Train,Purplish/Pinkish
sputum_train_0021.jpg,Train,Purplish/Pinkish
sputum_train_0022.jpg,Train,Purplish/Pinkish
sputum_train_0023.jpg,Train,Bluish
sputum_train_0024.jpg,Train,Purplish/Pinkish
sputum_train_0025.jpg,Train,Purplish/Pinkish
sputum_train_0026.jpg,Train,Yellowish
sputum_train_0027.jpg,Train,Yellowish
sputum_train_0028.jpg,Train,Purplish/Pinkish
sputum_train_0029.jpg,Train,Yellowish
sputum_train_0030.jpg,Train,Purplish/Pinkish
sputum_train_0031.png,Train,Yellowish
sputum_train_0032.jpg,Train,Purplish/Pinkish
sputum_train_0033.jpg,Train,Yellowish
sputum_train_0034.jpg,Train,Yellowish
sputum_train_0035.jpg,Train,Yellowish
sputum_train_0036.jpg,Train,Purplish/Pinkish
sputum_train_0037.jpg,Train,Bluish
sputum_train_0038.png,Train,Yellowish
sputum_train_0039.jpg,Train,Bluish
sputum_train_0040.jpg,Train,Purplish/Pinkish
sputum_train_0041.jpg,Train,Yellowish
sputum_train_0042.jpg,Train,Purplish/Pinkish
sputum_train_0043.jpg,Train,Purplish/Pinkish
sputum_train_0044.jpg,Train,Yellowish
sputum_train_0045.jpg,Train,Purplish/Pinkish
sputum_train_0046.jpg,Train,Bluish
sputum_train_0047.png,Train,Yellowish
sputum_train_0048.png,Train,Greenish
sputum_train_0049.jpg,Train,Purplish/Pinkish
sputum_train_0050.jpg,Train,Yellowish
sputum_train_0051.png,Train,Greenish
sputum_train_0052.jpg,Train,Purplish/Pinkish
sputum_train_0053.jpg,Train,Purplish/Pinkish
sputum_train_0054.jpg,Train,Purplish/Pinkish
sputum_train_0055.jpg,Train,Purplish/Pinkish
sputum_train_0056.jpg,Train,Purplish/Pinkish
sputum_train_0057.jpg,Train,Yellowish
sputum_train_0058.jpg,Train,Yellowish
sputum_train_0059.jpg,Train,Yellowish
sputum_train_0060.jpg,Train,Bluish
sputum_train_0061.jpg,Train,Purplish/Pinkish
sputum_train_0062.jpg,Train,Bluish
sputum_train_0063.jpg,Train,Purplish/Pinkish
sputum_train_0064.png,Train,Greenish
sputum_train_0065.jpg,Train,Yellowish
sputum_train_0066.jpg,Train,Bluish
sputum_train_0067.jpg,Train,Bluish
sputum_train_0068.png,Train,Yellowish
sputum_train_0069.jpg,Train,Yellowish
